"ID_PER","CVE_ENT","NOM_ENT","NOM_INT","private"
1936.7135,18,"Nayarit","CEFERESO 4 NOROESTE",0
2643.9117,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
2405.9595,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
1712.9027,10,"Durango","CEFERESO 14 CPS DURANGO",1
2095.2311,10,"Durango","CEFERESO 14 CPS DURANGO",1
1111.1013,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1406.4517,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
307.5205,7,"Chiapas","CEFERESO 15 CPS CHIAPAS",1
2353.8344,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2613.6154,26,"Sonora","CEFERESO 11 CPS SONORA",1
250.4345,18,"Nayarit","CEFERESO 4 NOROESTE",0
3031.9252,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1012.3317,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
160.2512,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
162.2762,10,"Durango","CEFERESO 14 CPS DURANGO",1
940.219,26,"Sonora","CEFERESO 11 CPS SONORA",1
127.625,26,"Sonora","CEFERESO 11 CPS SONORA",1
1820.157,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
1141.5636,10,"Durango","CEFERESO 14 CPS DURANGO",1
2905.67,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2336.5112,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1838.3274,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
277.4065,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1349.4359,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1254.1338,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1094.8841,10,"Durango","CEFERESO 14 CPS DURANGO",1
1877.383,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2655.439,18,"Nayarit","CEFERESO 4 NOROESTE",0
331.7567,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1349.4268,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
2162.6631,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2305.7276,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
484.4897,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2183.7036,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
782.9372,26,"Sonora","CEFERESO 11 CPS SONORA",1
781.6744,10,"Durango","CEFERESO 14 CPS DURANGO",1
746.6659,18,"Nayarit","CEFERESO 4 NOROESTE",0
2750.2875,10,"Durango","CEFERESO 14 CPS DURANGO",1
1021.5261,26,"Sonora","CEFERESO 11 CPS SONORA",1
1410.407,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
101.4995,10,"Durango","CEFERESO 7 NOR-NOROESTE",0
3182.4634,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
1150.736,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
964.3065,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2128.9966,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1861.1803,26,"Sonora","CEFERESO 11 CPS SONORA",1
2412.6753,16,"Michoacán de Ocampo","CEFERESO 17 CPS MICHOACAN",1
1706.9487,10,"Durango","CEFERESO 14 CPS DURANGO",1
1950.6854,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
2761.6304,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
259.4372,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2119.9649,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
1742.913,18,"Nayarit","CEFERESO 4 NOROESTE",0
2085.2217,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
262.446,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2873.7885,26,"Sonora","CEFERESO 11 CPS SONORA",1
1693.632,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
794.7585,10,"Durango","CEFERESO 14 CPS DURANGO",1
2341.4728,26,"Sonora","CEFERESO 11 CPS SONORA",1
1222.2969,26,"Sonora","CEFERESO 11 CPS SONORA",1
394.1013,7,"Chiapas","CEFERESO 15 CPS CHIAPAS",1
1612.623,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1089.271,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2999.1826,26,"Sonora","CEFERESO 11 CPS SONORA",1
937.8413,18,"Nayarit","CEFERESO 4 NOROESTE",0
613.9501,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2842.9321,26,"Sonora","CEFERESO 11 CPS SONORA",1
146.3564,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1100.9848,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
449.0559,26,"Sonora","CEFERESO 11 CPS SONORA",1
2465.8087,16,"Michoacán de Ocampo","CEFERESO 17 CPS MICHOACAN",1
663.0567,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
1919.6644,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
2489.7955,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2645.2408,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2299.9554,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1837.037,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1740.7753,18,"Nayarit","CEFERESO 4 NOROESTE",0
2448.304,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2545.2189,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1453.1852,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
1855.8573,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1308.491,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2019.5271,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2045.521,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
2137.6193,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2114.1828,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
1931.1854,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
881.5544,26,"Sonora","CEFERESO 11 CPS SONORA",1
775.8782,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
1500.8803,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
1008.0165,26,"Sonora","CEFERESO 11 CPS SONORA",1
3124.6051,10,"Durango","CEFERESO 14 CPS DURANGO",1
2950.4135,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
407.9522,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
1660.729,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
382.939,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2576.7364,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2420.364,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
569.3628,18,"Nayarit","CEFERESO 4 NOROESTE",0
1747.6163,10,"Durango","CEFERESO 14 CPS DURANGO",1
2890.5266,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1140.595,18,"Nayarit","CEFERESO 4 NOROESTE",0
663.4379,10,"Durango","CEFERESO 14 CPS DURANGO",1
2669.7857,10,"Durango","CEFERESO 14 CPS DURANGO",1
2499.2208,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1773.9675,7,"Chiapas","CEFERESO 15 CPS CHIAPAS",1
353.8937,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
890.7996,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
905.3868,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
3132.3851,10,"Durango","CEFERESO 14 CPS DURANGO",1
778.983,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
1683.5864,10,"Durango","CEFERESO 14 CPS DURANGO",1
105.1315,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2361.4077,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
3030.9618,26,"Sonora","CEFERESO 11 CPS SONORA",1
1714.3922,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
556.6358,18,"Nayarit","CEFERESO 4 NOROESTE",0
2644.0006,10,"Durango","CEFERESO 14 CPS DURANGO",1
320.4952,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2600.8049,26,"Sonora","CEFERESO 11 CPS SONORA",1
1746.1413,26,"Sonora","CEFERESO 11 CPS SONORA",1
2380.064,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2658.1136,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1389.8726,18,"Nayarit","CEFERESO 4 NOROESTE",0
197.0002,26,"Sonora","CEFERESO 11 CPS SONORA",1
1404.8749,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
2016.7103,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
840.4986,18,"Nayarit","CEFERESO 4 NOROESTE",0
1024.1955,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
836.7148,18,"Nayarit","CEFERESO 4 NOROESTE",0
1488.7578,18,"Nayarit","CEFERESO 4 NOROESTE",0
1213.3984,7,"Chiapas","CEFERESO 15 CPS CHIAPAS",1
3070.9473,18,"Nayarit","CEFERESO 4 NOROESTE",0
3122.8764,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
1806.9602,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
2446.5628,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2725.4099,10,"Durango","CEFERESO 14 CPS DURANGO",1
2554.386,10,"Durango","CEFERESO 14 CPS DURANGO",1
1799.9382,26,"Sonora","CEFERESO 11 CPS SONORA",1
1837.6019,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
1110.733,10,"Durango","CEFERESO 7 NOR-NOROESTE",0
145.1505,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
1813.4444,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
639.6866,10,"Durango","CEFERESO 14 CPS DURANGO",1
1545.7655,26,"Sonora","CEFERESO 11 CPS SONORA",1
2682.577,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
831.8386,16,"Michoacán de Ocampo","CEFERESO 17 CPS MICHOACAN",1
685.8587,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
608.9229,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
1184.8108,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
1038.1793,18,"Nayarit","CEFERESO 4 NOROESTE",0
576.7106,18,"Nayarit","CEFERESO 4 NOROESTE",0
2287.6534,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2424.1152,10,"Durango","CEFERESO 14 CPS DURANGO",1
2616.1455,10,"Durango","CEFERESO 14 CPS DURANGO",1
1983.0666,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
339.1949,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
545.324,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
2809.1795,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2957.4886,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2694.7082,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1972.0262,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1811.4175,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2333.7545,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
